epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.5673,1.23491,3.5318,2.99277,1.36933,0.66589,0.48102,0.43494,0.34185,0.68633,0.43473,0.42145,0.28864,0.80225,1.93437,1.85583,1.05512,0.00012,0.00012,0.00012
2,41.3732,0.99273,2.42625,1.62916,1.19184,0.75164,0.30771,0.42851,0.31566,0.79244,0.26014,0.39839,0.263,0.87948,2.13453,2.47289,1.12761,0.000246906,0.000246906,0.000246906
3,49.3722,0.96292,2.26133,1.38304,1.1217,0.6941,0.46315,0.39899,0.28413,0.6825,0.44719,0.37116,0.2405,1.02937,2.76248,1.82782,1.23332,0.000370595,0.000370595,0.000370595
4,55.8845,0.93596,2.10023,1.23433,1.09942,0.63345,0.53169,0.4158,0.29499,0.62709,0.52671,0.41054,0.27501,1.22406,3.46015,3.20002,1.33764,0.000491066,0.000491066,0.000491066
5,63.3822,0.95702,2.17108,1.1716,1.11743,0.7907,0.42584,0.46846,0.30205,0.77366,0.36078,0.41131,0.2799,1.12742,3.3955,1.67721,1.32294,0.00060832,0.00060832,0.00060832
6,70.0909,0.9706,2.10061,1.10324,1.12444,0.65508,0.31997,0.31313,0.18399,0.531,0.23321,0.19698,0.12396,1.34859,5.56807,2.16147,1.46904,0.000722356,0.000722356,0.000722356
7,77.5766,0.93567,2.07845,1.08377,1.11116,0.6186,0.29734,0.29486,0.1894,0.60524,0.28138,0.25676,0.15685,1.44854,3.9911,3.12652,1.69114,0.000833175,0.000833175,0.000833175
8,84.8082,0.95402,2.14536,1.03274,1.09728,0.72839,0.28526,0.35726,0.1992,0.71027,0.25494,0.31726,0.15191,1.62529,4.84944,3.41369,1.98445,0.000913375,0.000913375,0.000913375
9,91.8685,0.93225,1.95634,0.99801,1.09849,0.6837,0.36341,0.36297,0.20116,0.65162,0.32979,0.31958,0.1562,1.49327,4.07084,2.78497,1.74254,0.000901,0.000901,0.000901
10,99.3272,0.8839,1.86125,0.89686,1.07542,0.69059,0.33945,0.39851,0.25077,0.68095,0.32881,0.37,0.21265,1.27824,3.32197,2.16225,1.51912,0.000888625,0.000888625,0.000888625
11,106.138,0.86768,1.93626,0.88877,1.08165,0.6544,0.36339,0.32482,0.21603,0.58942,0.34392,0.2628,0.14926,1.20644,3.74609,2.00012,1.41475,0.00087625,0.00087625,0.00087625
12,113.75,0.90586,1.88594,0.90082,1.08276,0.49904,0.45174,0.46177,0.28373,0.40841,0.42401,0.39164,0.26013,1.25111,3.23582,1.41492,1.40564,0.000863875,0.000863875,0.000863875
13,120.458,0.87145,1.77524,0.86196,1.05923,0.74385,0.38392,0.43375,0.27481,0.64912,0.28342,0.29829,0.20923,1.27019,3.52393,1.60367,1.44858,0.0008515,0.0008515,0.0008515
14,127.955,0.84732,1.79325,0.84162,1.05939,0.7298,0.46984,0.48238,0.30792,0.77388,0.4136,0.46411,0.29439,1.1297,3.76109,1.44265,1.30856,0.000839125,0.000839125,0.000839125
